"day","number_rides","mean_trip_time","mean_distance","mean_rider_age","AWND","PRCP","SNOW","TAVG","TMAX","TMIN"
"2018-01-01","375","11.08","0.80","34.40","10.74","0","0","-2","1","-9"
"2018-01-02","1634","8.74","0.86","38.69","11.18","0","0","-2","8","-9"
"2018-01-03","2490","9.23","0.93","38.69","12.3","0","0.1","11","17","6"
"2018-01-04","2410","9.24","0.93","38.58","12.3","0","0","7","12","0"
"2018-01-05","2226","8.87","0.89","38.60","10.74","0","0","5","11","-1"
"2018-01-06","1092","9.73","0.94","35.58","6.49","0","0","5","17","-2"
"2018-01-07","1075","10.13","0.97","35.02","14.99","0.03","0","17","33","8"
"2018-01-08","4655","10.03","1.08","38.30","11.86","0","0","34","37","31"
"2018-01-09","5153","9.90","1.07","38.28","6.04","0","0","31","36","26"
"2018-01-10","5163","10.40","1.10","37.78","15.88","0.01","0","37","56","30"
"2018-01-11","4467","10.51","1.08","37.75","16.33","0.36","0","56","59","23"
"2018-01-12","3240","9.22","0.99","38.71","19.91","0","0","23","23","14"
"2018-01-13","1418","9.69","0.92","34.86","9.84","0","0","13","16","6"
"2018-01-14","1205","10.05","0.97","34.91","9.4","0.08","0.8","12","21","5"
"2018-01-15","1333","9.79","0.96","36.71","10.96","0.14","2.3","19","24","10"
"2018-01-16","2845","9.97","0.99","38.29","11.86","0.01","0.6","15","26","9"
"2018-01-17","3332","9.76","0.99","38.36","12.3","0","0","13","20","4"
"2018-01-18","4132","10.11","1.04","38.18","14.99","0","0","21","32","16"
"2018-01-19","4746","10.04","1.07","38.15","16.78","0","0","32","40","28"
"2018-01-20","3949","13.23","1.19","35.56","8.28","0","0","39","45","32"
"2018-01-21","2823","12.31","1.11","34.88","3.8","0","0","40","44","36"
"2018-01-22","4906","10.45","1.11","37.23","12.53","0.81","0","47","54","38"
"2018-01-23","4134","9.79","1.05","37.84","12.75","0.07","0.5","35","39","28"
"2018-01-24","4910","9.41","1.02","37.99","6.49","0.02","0.3","29","30","27"
"2018-01-25","5929","10.40","1.10","37.83","9.62","0","0","31","43","24"
"2018-01-26","6690","10.83","1.13","37.42","18.57","0","0","41","51","33"
"2018-01-27","5137","15.10","1.28","34.53","12.3","0","0","47","50","36"
"2018-01-28","2967","11.36","1.09","34.63","8.72","0.01","0","35","40","28"
"2018-01-29","4344","9.48","1.01","38.01","12.08","0","0","27","30","17"
"2018-01-30","4923","9.39","1.02","38.09","10.51","0","0","21","31","15"
"2018-01-31","5811","9.91","1.06","38.02","13.87","0","0","35","42","31"
"2018-02-01","4422","9.43","0.99","38.05","15.43","0","0","28","35","8"
"2018-02-02","3344","9.04","0.95","38.03","10.29","0","0","11","22","5"
"2018-02-03","2088","10.49","1.04","35.28","13.2","0.03","0.8","26","41","22"
"2018-02-04","657","10.08","0.94","34.11","13.42","0.08","1.1","26","35","4"
"2018-02-05","2123","10.28","0.94","38.77","6.93","0.22","2.2","6","12","-3"
"2018-02-06","2854","10.08","1.01","38.06","5.37","0.02","0.2","12","21","3"
"2018-02-07","2832","9.94","0.97","38.13","9.4","0.11","1.7","17","20","8"
"2018-02-08","3200","10.02","0.99","38.46","6.93","0.15","1.6","13","21","7"
"2018-02-09","692","11.78","0.98","37.32","10.74","0.57","6.2","24","28","18"
"2018-02-10","839","11.91","1.02","35.80","9.62","0.05","0.8","19","22","14"
"2018-02-11","669","14.02","1.02","34.15","10.07","0.39","3.7","20","22","11"
"2018-02-12","2673","12.03","1.07","37.60","6.26","0","0","15","27","4"
"2018-02-13","3745","11.41","1.08","37.72","6.26","0","0","20","35","7"
"2018-02-14","4608","11.27","1.11","38.25","9.62","0","0","32","44","24"
"2018-02-15","5286","10.87","1.14","37.84","6.26","0","0","41","48","38"
"2018-02-16","5006","10.85","1.11","37.97","10.07","0","0","36","37","20"
"2018-02-17","1954","11.21","1.08","35.67","8.5","0.11","2","25","35","17"
"2018-02-18","2238","12.31","1.10","34.79","10.74","0.02","0","27","41","12"
"2018-02-19","3019","10.45","1.08","36.23","12.08","0.52","0","42","60","37"
"2018-02-20","3060","9.79","1.05","37.75","13.2","2.1","0","59","66","34"
"2018-02-21","5159","9.98","1.07","38.30","10.96","0.04","0","32","34","27"
"2018-02-22","5710","10.32","1.10","38.12","13.2","0","0","33","40","29"
"2018-02-23","5516","10.86","1.13","37.95","9.4","0.06","0","40","44","33"
"2018-02-24","2984","12.67","1.11","35.36","13.2","0.16","0","36","50","33"
"2018-02-25","3576","14.98","1.24","34.53","17.9","0.01","0","40","50","34"
"2018-02-26","7688","11.91","1.20","37.62","8.72","0","0","40","53","28"
"2018-02-27","9294","12.99","1.29","36.95","13.87","0","0","48","62","39"
