"issue_time","plate","make","body_style","color","agency","violation_code","violation","fine"
"1125","CA","BMW","PA","GY","54","5200","DISPLAY OF PLATES","$25"
"1324","CO","TOYT","PA","BL","54","80.69BS","NO PARK/STREET CLEAN","$73"
"47","CA","FORD","PA","RD","54","80.58L","PREFERENTIAL PARKING","$68"
"838","CA","FORD","PA","BK","51","80.69BS","NO PARK/STREET CLEAN","$73"
"622","CA","TOYT","PA","GY","51","5204A-","DISPLAY OF TABS","$25"
"1639","CA","HOND","PA","GY","56","88.13B+","METER EXP.","$63"
"808","CA","TOYT","PA","BK","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1133","CA","FORD","PA","WT","55","5204A-","DISPLAY OF TABS","$25"
"1210","CA","TOYT","PA","GN","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1724","IL","CHEV","PA","BL","56","88.13B+","METER EXP.","$63"
"1041","CA","CHEV","VN","WT","53","80.69BS","NO PARK/STREET CLEAN","$73"
"1945","CA","HOND","PA","BL","53","8.06E+02","WHITE ZONE","$58"
"1137","CA","HOND","PA","SL","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1328","CA","TOYT","PA","GY","51","80.69BS","NO PARK/STREET CLEAN","$73"
"836","TN","CHEV","PA","RD","56","88.13B+","METER EXP.","$63"
"1755","CA","TOYT","PA","BK","51","5200","DISPLAY OF PLATES","$25"
"928","CA","TOYT","PA","BL","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1025","CA","FORD","PA","GN","55","80.69BS","NO PARK/STREET CLEAN","$73"
"1745","CA","BMW","PA","BK","51","88.13B+","METER EXP.","$63"
"950","CA","FORD","PA","GY","53","80.56E4+","RED ZONE","$93"
"720","AZ","NISS","PA","GY","56","80.69AP+","NO STOP/STANDING","$93"
"831","CA","MERZ","PA","BK","54","80.69BS","NO PARK/STREET CLEAN","$73"
"1046","CA","MERZ","PA","GY","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1357","CO","NISS","PA","RD","53","80.56E4+","RED ZONE","$93"
"1043","CA","MERZ","PA","BK","54","80.69BS","NO PARK/STREET CLEAN","$73"
"2325","CA","NISS","PA","GY","54","80.56E4+","RED ZONE","$93"
"1502","CA","BMW","PA","WT","56","88.13B+","METER EXP.","$63"
"820","GA","FORD","PA","WT","55","80.69BS","NO PARK/STREET CLEAN","$73"
"821","CA","TOYT","PA","BL","51","80.69BS","NO PARK/STREET CLEAN","$73"
"1307","CA","NISS","PA","BL","56","80.69BS","NO PARK/STREET CLEAN","$73"
"920","CA","MERZ","PA","BK","56","80.56E4+","RED ZONE","$93"
